,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
89,89,millet flour,444,5.1,0.6,1.1,3.1,86.9,2,12.8,4.2,0,0.056,12.8,0,0.5,0.032,0,0.010,7.2,1.5,0.4,0,0,0.1,0.037,16.7,0.6,4.7,141.6,1.2,339.2,266.6,0.028,3.1,130.4
90,90,triticale flour,439,2.4,0.4,0.2,1,95.1,0,17.1,19,0,0.096,13,0,0.5,0.012,0,0.2,3.7,2.8,0.5,0,0,1.2,0,45.5,0.7,3.4,198.9,5.4,417.3,605.8,0,3.5,182.5
91,91,corn flour white,414,4.2,0.6,1.1,2,87.3,1.8,9.6,7.3,0,0.036,11.2,0,0.3,0.078,0,0.1,1.9,0.2,0.5,0,0,0.1,0,157.3,0.2,1.7,106,0.5,263.3,298.7,0.072,2.1,267.4
92,92,rice flour brown,574,4.4,0.9,1.6,1.6,120.8,1.3,11.4,7.3,0,0.039,18.9,0,0.7,0.056,0,0.1,10,2.5,1.2,0,0,1.9,0,17.4,0.4,3.1,177,6.3,532.5,456.6,0,3.9,164.4
93,93,sorghum flour,437,4,0.6,1.1,1.7,93.7,2.3,9.5,8,0,0.023,12.2,0,0.3,0.058,0,0.014,6.3,1.1,0.4,0,0,0.6,0.079,14.5,0.3,3.6,145.2,1.5,348.5,376.3,0.026,1.7,133.3
94,94,cornmeal whole grain,442,4.4,0.6,1.2,2,93.8,0.8,9.9,8.9,0,0.022,12.5,0,0.5,0.034,0,0.2,4.4,0.5,0.4,0,0,0.5,0.059,7.3,0.2,4.2,154.9,0.6,294,350.1,0.004,2.2,128.5
95,95,cornmeal white,581,2.7,0.3,0.5,1,124.7,2.5,11.2,6.1,0,0.094,17.6,0,0.2,0.089,0,0.016,1.6,0.4,0.3,0,0,0.2,0,4.7,0.1,1.7,50.2,0.3,155.4,222.9,0.030,1,151.1
96,96,barley flour,511,2.4,0.5,0.3,1.1,110.3,1.2,15.5,14.9,0,0.062,17.9,0,0.5,0.021,0,0.2,9.3,0.2,0.6,0,0,0.8,0.069,47.4,0.5,4,142.1,1.5,438.1,457.3,0.037,3,194.5
97,97,safflower seed meal,97,0.7,0.029,0.099,0.4,13.8,0,10.1,0,0,0.006,1.8,0,0.3,0.022,0,0.1,0.6,1.1,0.3,0,0,0,0,21.8,0.5,1.4,99.1,0.6,180.6,19.2,0,1.4,47.8
98,98,sesame flour,658,46.4,6.5,17.5,20.3,33.3,0,38.5,0,0,0.041,1.1,0,3.4,0.073,0,0.4,16.7,3.7,0.2,0,0,0,0,198.8,1.9,19,451.3,1.9,1008.80,528.8,0,13.3,336.0
99,99,whole grain wheat flour,408,3,0.5,0.3,1.4,86.4,0.5,15.9,12.8,0,0.027,12.9,0,0.6,0.066,0,0.2,5.9,0.7,0.5,0,0,0.9,0.025,40.8,0.5,4.3,164.4,4.9,428.4,435.6,0.045,3.1,163.2
100,100,corn flour yellow,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0,0.040,12.8,0,0.3,0.040,0,0.036,2.2,0.8,0.4,0,0,0.5,0.006,8.2,0.3,2.8,108.8,0.5,318.2,368.6,0.012,2,122.0
101,101,corn flour whole grain,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0,0.033,12.8,0,0.3,0.021,0,0.035,2.2,0.8,0.4,0,0,0.5,0.071,8.2,0.3,2.8,108.8,0.5,318.2,368.6,0.045,2,122.0
